Carpaccio to danie kuchni:;Włoskiej;Francuskiej;Portugalskiej;Hiszpańskiej;
Czego nie ma w sosie bearnaise?;Oliwy z oliwek;Żółtek jaj;Masła;Octu;
Jak nazywa się danie z miesa mielonego, fasoli i chilli?;Chilli con carne;Carbonara;Kebab;Bolognese;
Jaki składnik nie jest zwykle dodawany do klasycznego ratatouille?;Brokuły;Bakłażan;Cukinia;Papryka;
Jaki smak ma Licor 43?;Waniliowy;Czekoladowy;Ziemniaczany;Agrestowy;
Kasza jaglana jest uzyskiwana z:;Prosa;Kuskusu;Kukurydzy;Jęczmienia;
Który sos pochodzi z Meksyku?;Mole;Z zielonego pieprzu;Aioli;Teriyaki;
Który z poniższych nie należy do serii Absolut Vodka?;Sour Apple;Pepper;Berri Acai;Ruby Red;
Pieprz turecki to inaczej:;Papryka;Szafran;Majeranek;Gorczyca;
Po kim został nazwany filet z cielęciny Oscar?;Król Oscar II;Cielę Oscar;Karl-Oskar z "Emigrantów";Szef kuchni Oscar Adolfsson;
Psianka podłużna to:;Bakłażan;Kawiat;Ogórecznik;Grzyb;
Red Savina to odmiana:;Papryczki;Koniaku;Sera;Wina;
Rosyjski chłodnik przyrządzany na kwasie chlebowym to:;Okroszka;Ucha;Bozbasz;Gramatka;
W której potrawie jest mak?;Kutia;Szarlotka;Pierogi ruskie;Paella;
Z której części zwierzęcia pochodzi antrykot?;Grzbietu;Kończyny;Brzucha;Szyi;
Celiaklia jest chorobą:;Przewodu pokarmowego;Układu moczowo-płciowego;Serca;Układu oddechowego;
Chorobami układu nerwowego zajmuje się:;Neurolog;Psychiatra;Nefrolog;Psycholog;
Co nie jest prawdą o bakteriach?;Wszystike mają ten sam kształt;Jednokomórkowce;Mają różne wielkości;Mikroorganizmy;
Czego się boisz, jeśli masz agorafobię?;Otwartych przestrzeni;Noży;Zasłabnięcia;Tajnego podsłuchu;
Do której tkanki należą najdłuższe komórki organizmu?;Nerwowej;Mięśniowej;Kostnej;Łącznej;
Gdzie można znaleźć młoteczek?;W uchu;W dłoni;W stopach;U podstawy czaszki;
Jak inaczej nazwać chorobę zwaną z języka greckiego: “miopia”?;Krótkowzroczność;Niedrożność nosa;Niewydolność serca;Zaburzenia czynności płuc;
Jak nazywa się epidemia choroby zakaźnej, która rozprzestrzenia się w dużych częściach świata i wpływa na znaczną część populacji w każdym kraju?;Pandemia;Akademia;Anemia;Epidemia Maximus;
Jak nazywa się obsesja na punkcie bycia umięśnionym?;Bigoreksja;Miastenia;Fibromialgia;Keratynokinaza;
Jak nazywają się męskie hormony?;Androgeny;Maskugeny;Manogeny;Testogeny;
Komórki kubkowe mogą występować w:;Jelicie cienkim;Mózgu;Sercu;Wątrobie;
Która część serca pompuje krew do ciała?;Lewa komora;Prawy przedsionek;Zastawki;Prawa komora;
Nozdrza tylne rozdzielone są:;Lemieszem;Kością;Przegrodą;Chrząstką;
Po czym występuje zespół Sheehana?;Po porodzie;Po zawale mięśnia sercowego;Po przejedzeniu;Po wysiłku fizycznym;
Szkarlatyna to inaczej:;Plonica;Pelagra;Ebola;Grypa;
Zapalenie opon mózgowo-rdzeniowych występuje częściej u dzieci niż u dorosłych i przeważnie dotyczy dzieci w wieku:;Od 2 miesięcy do 5 lat;Od 10 lat do 13 lat;Od 5 lat do 10 lat;Od 6 miesięcy do 3 lat;
Do jakiego kraju należą wyspy Kuryle?;Rosja;USA;Japonia;Chiny;
Flagi którego z tych państw nie opuszcza się nigdy do pół masztu nawet na znak żałoby?;Arabii Saudyjskiej;Japonii;Wielkiej Brytanii;Burkina Faso;
Jakie jest trzecie terytorialnie największe państwo świata (po Rosji i Kanadzie)?;Chiny;Brazylia;Mongolia,USA;
Kiedy ukształtowała się obecna forma kontynentu afrykańskiego?;Podczas jury i kredy 100 – 150 mln lat temu;Podczas kredy 100 000 lat temu;Podczas jury 300 mln lat temu;Podczas jury 20 mln lat temu;
Przez który z tych krajów przechodzi równik?;Kenia;Republika środkowej Afryki;Etiopia;Angola;
W jakim województwie położony jest Radom?;Mazowieckim;Podlaskim;Lubelskim;świętokrzyskim;
Z ilu landów składa się Republika Federalna Niemiec?;16;21;6;10;
Co jest prawdą o delfinach?;Są ssakami;Istnieją tylko dwa gatunki;Nie występują w Europie;Są roślinożercami;
Długowłosa odmiana kota rosyjskiego niebieskiego to:;Kot nebelung;Kot syberyjski;Kot kartuski;Kot doński sfinx;
Gdzie niedźwiedzie brunatne spędzają okres zimowy?;W gawrze;W mamrze;W kraterze;W kojcu;
Gdzie umiejscowione są gruczoły jadowe u ropuch?;Za oczami;W odcinku lędźwiowym kręgosłupa;Pod pachami;W żołądku;
Jak w gwarze łowieckiej nazywamy głos psa oznajmiający znalezienie zwierzyny?;Anons;Barłóg;Chyb;Cwał;
Kiryski są to ryby, które potraﬁą:;Oddychać jelitowo;Oddychać błędnikiem;Udawać martwego w zagrożeniu;Latać;
Które z poniższych nie jest rośliną?;Geniodektes;Rutewka orlikolistna;Jaskier karłowaty;Rozrzutka gładka;
Który z grzybów jest najbardziej trujący?;Piestrzenica kastanowata;Muchomor czerwony;Borowik ceglastopory;Sromotnik smrodliwy;
Okrajki to:;Typ zębów konia;Stawy kuliste u kotów;Krawędzie boczne kości;Inaczej oczy;
Co oznacza imię Magnus po łacinie?;Wielki;Zwycięzca;Mistrz;Wojownik;
Co to onomatopeja?;Wyraz dżwiękonaśladowczy;Wyraz pokrewny;Wyraz obcy;Wyraz bliskoznaczny;
Ile lat miała Cecylia Ahern, kiedy napisała swoją książkę “P.S. kocham Cię”?;21 lat;17 lat;25 lat;34 lata;
Jak nazywa się japoński pisarz, który był jednym z faworytów do Nagrody Nobla i który napisał powieść “Norwegian Wood”?;Haruki Murakami;Yoshi Datsu;Insuke Nakawa;Shiyagatsu Kitoyima;
Jak nazywa się przedostatnia książka serii “Opowieści z Narnii”?;Siostrzeniec czarodzieja;Koń i jego chłopiec;Ostatnia bitwa;Książę czasu;
Jak nazywała się w języku elfów Góra Przeznaczenia w powieści “Władca Pierścieni”?;Orodruina;Amon Hen;Osgiliath;Barad-dur;
Kto był miłością Severusa Snape’a z serii “Harry Potter”?;Lily Evans;Nie potrafił kochać;Albus Dumbledore;Hermiona Granger;
Kto jest autorką popularnej powieści “Wywiad z wampirem”?;Anne Rice;Mary White;Jane Austin;J. K. Rowling;
“Miałeś, chamie, złoty róg, ostał ci się jeno sznur”. W którym polskim dramacie padają te słowa?;Wesele;Dziady;Kordian;Nie-Boska komedia;
Pawiem narodów byłaś i papugą” – te słowa z utworu Juliusza Słowackiego odnoszą się do;Polski;Francji;Rosjki;Grecji;
Pseudonimem używanym przez Tadeusza Zielińskiego był:;Eheu;Turyn;Eleu;Schondorf;
“Saga o Ludziach Lodu” napisana przez Margit Sandemo to seria Iicząca:;47 części;8 części;15 części;24 części;
śmierć których pięknych zwierząt występuje w tytule opowiadania Oty Pavela?;Saren;Tygrysów;Niedźwiedzi;Osłów;
Do jakiego zakonu należał reformator religijny Marcin Luter?;Augustianów;Franciszkanów;Dominikanów;Kanonistów;
Jak nazywał się fiński snajper, który podobno zabił ponad 500 radzieckich żołnierzy podczas II wojny światowej?;Simo Hayha;Sami Virolainen;Juha Heikkinen;Seppo Halonen;
Kiedy nazistowskie Niemcy zaatakowaly Związek Radziecki?;22 czerwiec 1941;17 września 1939;1 wrzesień 1939;6 czerwiec 1944;
Kto był ostatnim I Sekretarzem KC PZPR?;Mieczysław Rakowski;Władysław Gomułka;Wojciech Jaruzelski;Stanisław Kania;
Kto był pierwszym cesarzem Rzymu?;Oktawian August;Juliusz Cezar;Juliusz August;Oktawian Liwiusz;
Które 2 poniższych miast było stolicą Prus?;Berlin;Hamburg;Kolonia;Monachium;
Które znane historyczne miejsce zostało odkryte przez Hirama Binghama w 1911 roku?;Machu Picchu;Biblioteka Aleksandryjska;Atlantyda;Giza;
Który 2 wymienionych był uczniem Platona?;Arystoteles;Sokrates;Archimedes;Pitagoras;
Który papież został pierwszym suwerenem państwa-miasta Watykan i jego absolutnym władcą?;Pius XI;Paweł V;Legion XI;Jan XX;
Skąd pochodziła, rządząca również w Polsce (w XVIII wieku), dynastia Wettynów?;Z Saksonii;Z Austrii;Z Bawarii;Z Branderburgii;
Włócznię którego świętego posiadał Karol Wielki?;Maurycego;Wojciecha;Andrzeja;Jerzego;
Z jakim rodem związanyjest Nieśwież?;Z Radziwillami;Z Koniecpolskimi;Z lubomirskimi;Z Ossolińskimi;
Z jakim wydarzeniem kojarzy się Spartakus?;Z budową konia trojańskiego;Z zamachem na Galiusa II;Z bitwą pod Spartą;Z powstaniem niewolników;
Jak nazywa się wokalista zespołu H.I.M?;Ville Valo;Joey Temprest;Axl Rose;Marco Hietala;
